record_id,reference_doi,solid_name,liquid_name,contact_angle_deg,solid_surface_energy_source_type,sfe_fitting_liquids,target_liquid_used_in_sfe_fit,loo_sfe_feasible,loo_available_liquids,risk_level,recommended_action,notes,loo_sfe_total_mJ_m2,loo_sfe_dispersion_mJ_m2,loo_sfe_polar_mJ_m2,all_liquid_fit_total_mJ_m2,all_liquid_fit_dispersion_mJ_m2,all_liquid_fit_polar_mJ_m2
CA0598,10.3762/bjnano.6.212,smooth PIndole-5-F6 film,hexadecane,37.9,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target hexadecane is included in the original fit.,28.35,27.17,1.18,26.43,24.8,1.63
CA0599,10.3762/bjnano.6.212,smooth PIndole-5-F4 film,water,81.4,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;hexadecane,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target water is included in the original fit.,48.03,27.5,20.53,35.87,30.68,5.19
CA0600,10.3762/bjnano.6.212,smooth PIndole-5-F4 film,diiodomethane,44.9,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,hexadecane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target diiodomethane is included in the original fit.,33.41,27.5,5.91,35.87,30.68,5.19
CA0601,10.3762/bjnano.6.212,smooth PIndole-5-F4 film,hexadecane,0,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target hexadecane is included in the original fit.,37.71,33.38,4.33,35.87,30.68,5.19
CA0602,10.3762/bjnano.6.212,smooth PIndole-6-F6 film,water,99.4,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;hexadecane,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target water is included in the original fit.,27.37,20.29,7.07,23.52,22.03,1.49
CA0603,10.3762/bjnano.6.212,smooth PIndole-6-F6 film,diiodomethane,66.8,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,hexadecane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target diiodomethane is included in the original fit.,22.04,20.29,1.74,23.52,22.03,1.49
CA0604,10.3762/bjnano.6.212,smooth PIndole-6-F6 film,hexadecane,44.1,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target hexadecane is included in the original fit.,24.68,23.48,1.2,23.52,22.03,1.49
CA0605,10.3762/bjnano.6.212,smooth PIndole-6-F4 film,water,81.1,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;hexadecane,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target water is included in the original fit.,46.55,27.5,19.05,35.76,30.39,5.37
CA0606,10.3762/bjnano.6.212,smooth PIndole-6-F4 film,diiodomethane,45.7,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,hexadecane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target diiodomethane is included in the original fit.,33.54,27.5,6.04,35.76,30.39,5.37
CA0607,10.3762/bjnano.6.212,smooth PIndole-6-F4 film,hexadecane,0,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target hexadecane is included in the original fit.,37.4,32.81,4.58,35.76,30.39,5.37
CA0608,10.3390/polym12091856,PLA film before composting,water,61.3,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,diiodomethane;ethylene glycol,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target water is included in the original fit.,41.4,38.27,3.13,43.49,30.4,13.08
CA0609,10.3390/polym12091856,PLA film before composting,diiodomethane,36.7,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,ethylene glycol;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target diiodomethane is included in the original fit.,39.96,10.32,29.65,43.49,30.4,13.08
CA0610,10.3390/polym12091856,PLA film before composting,ethylene glycol,44.8,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target ethylene glycol is included in the original fit.,47.37,33.02,14.35,43.49,30.4,13.08
CA0611,10.3390/polym12091856,PLA/Morin film before composting,water,83.2,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,diiodomethane;ethylene glycol,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target water is included in the original fit.,32.81,30.43,2.38,32.66,28.11,4.54
CA0612,10.3390/polym12091856,PLA/Morin film before composting,diiodomethane,52.8,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,ethylene glycol;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target diiodomethane is included in the original fit.,28.24,20.88,7.36,32.66,28.11,4.54
CA0613,10.3390/polym12091856,PLA/Morin film before composting,ethylene glycol,58.8,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target ethylene glycol is included in the original fit.,33.68,28.91,4.78,32.66,28.11,4.54
CA0614,10.3390/polym12091856,PHA film before composting,water,70,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,diiodomethane;ethylene glycol,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target water is included in the original fit.,37.69,28.3,9.39,38.52,27.08,11.44
CA0615,10.3390/polym12091856,PHA film before composting,diiodomethane,50.1,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,ethylene glycol;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target diiodomethane is included in the original fit.,36.78,23.1,13.67,38.52,27.08,11.44
CA0616,10.3390/polym12091856,PHA film before composting,ethylene glycol,41.4,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target ethylene glycol is included in the original fit.,39.14,27.5,11.64,38.52,27.08,11.44
